[05:55:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[05:56:11] [main/INFO]: Reloading ResourceManager: Default
[05:56:28] [Worker-Main-2/INFO]: Loaded 7 recipes
[05:56:36] [Worker-Main-2/INFO]: Loaded 927 advancements
[05:57:13] [Server thread/INFO]: Starting minecraft server version 1.16.5
[05:57:13] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[05:57:13] [Server thread/INFO]: Loading properties
[05:57:13] [Server thread/INFO]: Default game type: SURVIVAL
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:59] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:00] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:01] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:01] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:01] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[05:58:02] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:05] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:05] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:05] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:05] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:05] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:05] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:05] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:06] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:06] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:08] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[05:58:08] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:08] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[05:58:08] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:09] [Server thread/INFO]: Preparing spawn area: 0%
[05:58:09] [Server thread/INFO]: Preparing spawn area: 29%
[05:58:11] [Server thread/INFO]: Preparing spawn area: 47%
[05:58:11] [Server thread/INFO]: Preparing spawn area: 47%
[05:58:11] [Server thread/INFO]: Preparing spawn area: 47%
[05:58:11] [Server thread/INFO]: Preparing spawn area: 47%
[05:58:12] [Server thread/INFO]: Preparing spawn area: 47%
[05:58:12] [Server thread/INFO]: Preparing spawn area: 47%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:24] [Server thread/INFO]: Preparing spawn area: 67%
[05:58:30] [Server thread/INFO]: Time elapsed: 64747 ms
[05:58:30] [Server thread/INFO]: Done (67.498s)! For help, type "help"
[05:58:36] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5697ms or 113 ticks behind
[05:59:48] [Server Watchdog/FATAL]: A single server tick took 60.03 seconds (should be max 0.05)
[05:59:48] [Server Watchdog/FATAL]: Considering it to be crashed, server will forcibly shutdown.
[05:59:50] [Server Watchdog/ERROR]: This crash report has been saved to: /home/chore/minecraft/./crash-reports/crash-2021-06-06_05.59.50-server.txt
